#automap RITHMIC ,,,,,,,,,,,,,,
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
ESM5,5970,EXT_SUPPLY,#ffffff,#FF0000,left,5,TRUE
ESM5,5960,30min_Support,#ffffff,#FF0000,left,5,TRUE
ESM5,5912,EXT_DEMAND,#ffffff,#FF0000,left,5,TRUE
ESM5,5970,BE_30m_FVG,#FFd6D6,#005900,left,5,TRUE
ESM5,5960,BU_30m_FVG,#B6FFB6,#FF0000,left,5,TRUE
ESM5,5912,30min_FVG,#B6FFB6,#005900,left,5,TRUE
ESM5,5925,W_EM_+1,#000000,#F2F2F2,left,3,TRUE
ESM5,5704.5,W_EM_-1,#000000,#F2F2F2,left,3,TRUE
ESM5,6437.25,W_EM_+2,#000000,#F2F2F2,left,3,TRUE
ESM5,5460.25,W_EM_-2,#000000,#F2F2F2,left,3,TRUE
ESM5,6681.5,W_EM_+3,#000000,#F2F2F2,left,3,TRUE
ESM5,5216,W_EM_-3,#000000,#F2F2F2,left,3,TRUE
ESM5,5988,Cam_R6,#FFFFFF,#730000,left,5,TRUE
ESM5,5959,Cam_R4,#FFFFFF,#730000,left,5,TRUE
ESM5,5942,Cam_R3,#FFFFFF,#730000,left,5,TRUE
ESM5,5908,Cam_S3,#FFFFFF,#003300,left,5,TRUE
ESM5,5891,Cam_S4,#FFFFFF,#003300,left,5,TRUE
ESM5,5862,Cam_S6,#FFFFFF,#003300,left,5,TRUE
ESM5,5925,Cam_CP,#FFFFFF,#002C45,left,5,TRUE
ESM5,5994,POC_D1,#F5EFFF,#6E00A8,left,5,TRUE
ESM5,6003,VAH_D1,#000000,#F2F2F2,left,5,TRUE
ESM5,5981,VAL_D1,#000000,#F2F2F2,left,5,TRUE
ESM5,5865,HVN,#F5EFFF,#6E00A8,left,5,TRUE
ESM5,5963,Naked_POC,#F5EFFF,#6E00A8,left,5,TRUE
ESM5,5952,IB_High_PD,#0A0A0A,#B2B2B2,left,5,TRUE
ESM5,5924,IB_Low_PD,#0A0A0A,#B2B2B2,left,5,TRUE
ESM5,5952,IB_High_,#0A0A0A,#B2B2B2,left,5,TRUE
ESM5,5924,IB_Low_,#0A0A0A,#B2B2B2,left,5,TRUE
